,UTWPC,7135 S Plaza Center Dr,West Jordan,UT,84084,
,,,,,,
,Florida,,,,,
,FLCUR,2322 N University Dr,Coral Springs,FL,33065,
,FLKKR,8400 Mills Dr,Kendall,FL,33183,
,FLLB5,17634 Harpers Run,Lutz,FL,33558,
,FLLO5,2194 Argosy Drive,Land O’ Lakes,FL,34639,
,FLOHC,5732 N Haiwassee Rd,Orlando,FL,32810,
,FLRGB,5891 S Gornto Lake Rd,Riverview,FL,33578,
,FLSTP,4940 S Tamiami Trail,Sarasota,FL,34231,
,FLTDB,2525 N Dale Mabry Hwy,Tampa,FL,33607,
,FLTTE,5320 Ehrlich  Rd,Tampa,FL,33624,
,FLC1S,345 Semoran Blvd,Casselberry,FL,32730,
,FLB4G,20841 FL-7,Boca Raton,FL,33428,
,FLHL5,8924 State Road 52,Hudson,FL,34667,
,,,,,,
,Texass,,,,,
,TXERG,2401 Rio Grande Blvd,Euless,TX,76039,
,TXFMA,3560 Altamesa Blvd,Fort Worth,TX,76133,
,TXHEB,8650 Endicott Ln,Houston,TX,77096,
,TXHGA,"1755 Allen Pkwy, Ste 2",Houston,TX,77019,
,TXKS1,1719 Spring Green Blvd,Katy,TX,77494,
,TXR27,4112 FM Highway 762 Rd,Rosenberg,TX,77469,
,TXRGA,10535 W Grand Parkway South,Richmond,TX,77407,
,TXSSL,7422 Louetta Rd,Spring,TX,77379,
,TXDCB,1300 W Belt Line Rd,DeSoto,TX,75115,
,TXPPP,"3500 Preston Rd, Suite 100",Plano,TX,75093,
,TXNRH,7120 Rufe Snow Dr,North Richland Hills,TX,76182,
,TXSW6,3346 HWY 6 ,Sugarland,TX ,77478,
